,AA,AE,AH,AO,AW,AY,B,CH,D,DH,EH,ER,EY,F,G,HH,IH,IY,JH,K,L,M,N,NG,OW,OY,P,R,S,SH,T,TH,UH,UW,V,W,Y,Z,ZH
EH,0.13138529871546414,0.08996545228136574,0.1106635501695669,0.13460858713088106,0.15548450554975052,0.12611238909810366,0.1629683434938231,0.1638041287324002,0.16193093624412908,0.1820967822798487,0.0,0.11924035526624178,0.1084496323234573,0.16878591075140076,0.17094670739363504,0.18349211623484565,0.10853886829911352,0.12466567745610482,0.1698550334553297,0.1621743177953041,0.1577796282818898,0.16213723823727072,0.15895519288529758,0.24626840825009155,0.1206528218709445,0.17153404263416291,0.15489356294260304,0.1493292657343122,0.15616783559417127,0.1940699552476691,0.15225764320364163,0.17441601234797371,0.17463914582395584,0.14933534387578778,0.17081274140331304,0.17949609205302264,0.1971181975076172,0.15873852987096143,0.2100572741909783
ER,0.1389028654760789,0.12218611298306858,0.1139173752694854,0.15018209887289924,0.15697693209271335,0.12201582107747384,0.16000047595696126,0.16866297955444154,0.15988474677177042,0.18289934397534163,0.11824213250073029,0.0,0.12043408951405583,0.1669091066659883,0.17153986735391108,0.17652404683843115,0.11193244792508697,0.128589053362918,0.17299809694578744,0.1636118242466434,0.15002032956962208,0.15729483725481835,0.15740718187749214,0.2337072875007838,0.12802910536747528,0.1700882764016048,0.1583269764663291,0.11801499208038588,0.15471714136682752,0.1969295293453336,0.16025655586137894,0.17184372093529673,0.17529192867611723,0.14340309087712222,0.16864120357618462,0.17395307835051882,0.19457234345304647,0.15961600282871896,0.2147235150920115
EY,0.13511520565323454,0.13166568920120789,0.11881784030896324,0.13656473481988446,0.15966351519685723,0.11910969650129011,0.16955639064073713,0.16436734167686212,0.16194930753067577,0.18524285388902234,0.10413352942891155,0.11968597512609172,0.0,0.1655758101392171,0.17312436315008134,0.18383933298706936,0.10809239713664165,0.09070067453202499,0.17611174012347458,0.164632601057989,0.15824618013057867,0.1710442673531679,0.16016033657590178,0.22944064712108908,0.12670659847252885,0.16786538995089695,0.15338151868666489,0.14874673377699335,0.15359446083947167,0.18879579655239345,0.15800040510287022,0.1744728733492306,0.17087679591870034,0.14756412448976178,0.17690054220028556,0.17383418900988917,0.19254147194173163,0.16396851813717395,0.21093885735051132
F,0.1698108518318045,0.16532444502370866,0.16057672795819306,0.16114018456720017,0.17621124520577708,0.16435167455717964,0.13255185839022876,0.1505753649103948,0.15832815068727418,0.1687816874946384,0.15618872111433843,0.15538937004066178,0.15697317922855075,0.0,0.15096400528218984,0.17010048101346864,0.15814660444985737,0.15668011012819738,0.1615493207602159,0.1359471350421988,0.15832852854349574,0.15107360085249186,0.1534770589409682,0.22320898910496983,0.16169070511880568,0.1955698131813279,0.11453715218380772,0.15199222648866703,0.14110140255419312,0.17348228203023908,0.15202331276449976,0.14258540882515977,0.1746544882376675,0.16444687135547092,0.11636975345649081,0.16349474528699123,0.19148947878048966,0.15434567195801632,0.19144599446017252
G,0.16165836343900014,0.1590942510754592,0.1636849463415419,0.15952296089368018,0.17958628844893304,0.16133700786695115,0.13497357700574653,0.16598718622956588,0.13193627257603627,0.1624891521879323,0.15499607626013176,0.1562056296971735,0.1601159708670971,0.14823264454305726,0.0,0.16454173156979846,0.15568115270286778,0.15234775258707067,0.14403216439480096,0.10117097176946524,0.159386326773991,0.1443383531697962,0.15990256141219744,0.20952188228577462,0.16692969612811193,0.20133538371495452,0.1477828578749124,0.15902174402615515,0.1608256250117178,0.1824535877780608,0.15593860381908117,0.15651769482908978,0.1922210620528504,0.17230009041607947,0.13610353352806429,0.1629924345443981,0.18107695617371958,0.14296549682034043,0.17979600743068336
HH,0.16488478603585507,0.16575256586942488,0.16340728956834166,0.16875400345933766,0.1809751366256309,0.16677387174464123,0.1489576838268924,0.15114320849153273,0.14997567048898972,0.14284721226970118,0.15502107284426447,0.15116040110275508,0.15913632347554074,0.15617208393794696,0.15451610947087868,0.0,0.1608569628634829,0.16179423564022055,0.1587459470897425,0.1437625638202651,0.14974290752608677,0.14807394375977873,0.14945941786290018,0.19750526576227562,0.16489625953793483,0.183752584543657,0.160656333166453,0.14899398639255246,0.1584078608134794,0.16918627757889493,0.14622808021775063,0.16029804569325223,0.17078124674164363,0.17195690600643004,0.15246315638735403,0.1609281968371069,0.179353548403332,0.1624448725290331,0.19025874824664674
IH,0.1316725028028629,0.11953344411091446,0.10947059272672863,0.13713609411086033,0.14844769123202264,0.12390870704912732,0.16360071932956854,0.17002596063963563,0.15653840827379323,0.18351011765177266,0.10921956919289053,0.11177185726574598,0.11957812458991679,0.1669056835132528,0.1688215459015956,0.186246644713472,0.0,0.12982124604974968,0.16904247222946672,0.16195040399474409,0.15626438756609717,0.15743071171862533,0.15674201105327068,0.232227795094044,0.12363824914981142,0.16826684715293927,0.15759813598513783,0.1487237345118707,0.15748909759379545,0.1973087707032367,0.1586266697528347,0.1701685861146865,0.17410099367875054,0.14850870489427914,0.16965738994844662,0.17397279195022847,0.19936536725957718,0.15705640489836487,0.21438375085401068
IY,0.1400306456259341,0.1339161137704288,0.12815618828302683,0.14803659546932657,0.15520842815951824,0.1328087335199768,0.15610116479691288,0.17170426968626973,0.16104355338505688,0.1846257115837589,0.12125576016549115,0.1259636344970526,0.1046655105929033,0.16279952818779697,0.1623089443031526,0.18415513676734122,0.1245999197258657,0.0,0.161510834803491,0.16429554473672203,0.15899403561254483,0.1607440741883903,0.16002890608785575,0.22072682035445265,0.12520653307326338,0.1686802087084862,0.1578387725396886,0.15025208211256952,0.15975562787774797,0.18801046717004338,0.15344942370582654,0.17098690589409152,0.18165999598414861,0.1490896581971632,0.1662239200440342,0.17461419116810006,0.18894832220128532,0.15988895682109844,0.21297094486395723
JH,0.16876752403359585,0.15476994693757395,0.15900930394833554,0.17313855156705776,0.1659517523985753,0.1727830170228698,0.14631117671228505,0.08742778287467708,0.13889986773987267,0.15350894553719385,0.15428322030837632,0.15784255713405976,0.16337053367497711,0.15860708803130347,0.14451597011985648,0.1694175590776506,0.15712551132464375,0.15288255226346664,0.0,0.1640288132238034,0.16199119004919044,0.1479765701625893,0.1476488084595799,0.21703756210389563,0.16407833982401754,0.19317386201363096,0.16256099627749007,0.15133174878102734,0.1556532479614418,0.16752036220475613,0.14764057527846036,0.16028515698204732,0.1935146716905793,0.16843356678587992,0.14389517238259317,0.15960135334644676,0.1818690455711313,0.1309456813545628,0.18473378235608284
K,0.16349778739117052,0.15969624974318908,0.1534119083530101,0.1610169162114618,0.17108641187908596,0.16147273047862065,0.14376144675600036,0.15445611302972156,0.16096047868580438,0.16912453109131642,0.14953232730295116,0.15157996089903272,0.15547126501890615,0.13388628394252527,0.10824420621942163,0.1556155849703077,0.15255767571585144,0.15772630425995904,0.16612962685653415,0.0,0.1557815498898376,0.15152648352171671,0.1497494447121822,0.22486489589892497,0.16261146971437207,0.1975178646257713,0.1300742795044961,0.15304327955211794,0.1473986453364119,0.17538334698465435,0.1362061041925096,0.1649570880832755,0.1825890723525287,0.1733760131155616,0.14802670480026073,0.1601352073707661,0.1864685304610116,0.16481199469167565,0.1912413644895083
