*,AA,AE,AH,AO,AW,AY,B,CH,D,DH,EH,ER,EY,F,G,HH,IH,IY,JH,K,L,M,N,NG,OW,OY,P,R,S,SH,T,TH,UH,UW,V,W,Y,Z,ZH
EH,0.011613308,0.477087257,0.116446955,0.004394225,0.007219083,0.014438167,0.000627746,0,0.001569366,0,1,0.006591337,0.044883867,0,0.00094162,0.00094162,0.15819209,0.00094162,0,0.00094162,0,0.001255493,0.004394225,0.000627746,0.003452605,0.002510986,0,0.010671689,0.00094162,0,0.002197112,0,0.003452605,0,0.001569366,0,0.000313873,0.00094162,0
ER,0.002990431,0.005980861,0.01076555,0.000598086,0.000598086,0.004186603,0,0.000598086,0.001794258,0,0.00777512,1,0.002392344,0.000598086,0,0.002990431,0.014354067,0.001794258,0,0.001794258,0,0,0.002392344,0,0.002392344,0,0,0.233253589,0.000598086,0.001794258,0.002392344,0.001794258,0.000598086,0,0.001196172,0,0,0.004186603,0.000598086
EY,0,0.018808777,0.00223914,0,0.000447828,0.030004478,0,0,0.008956561,0.000447828,0.080609046,0.000895656,1,0.001791312,0.001791312,0.001791312,0.195700851,0.404388715,0,0.007165249,0.001791312,0.000447828,0.004926108,0.015226153,0.000895656,0.009852217,0.001343484,0.001343484,0.000895656,0.000447828,0.004030452,0.001343484,0.001343484,0.000447828,0.001343484,0,0.004926108,0.000895656,0
F,0.004657662,0.001397299,0.000931532,0.003260363,0,0.000931532,0.017699115,0.001863065,0.002794597,0.00978109,0.001863065,0.000465766,0.000465766,1,0.000465766,0.028411737,0.001397299,0.000465766,0.000931532,0.007452259,0.006520727,0,0.000931532,0,0.000931532,0,0.151839776,0.005589194,0.044713554,0.006986493,0.029809036,0.272938985,0.003726129,0,0.330228225,0.009315324,0,0.006520727,0
G,0,0.000711744,0.006405694,0,0.001423488,0.000711744,0.010676157,0,0.120996441,0.004982206,0.004270463,0.002135231,0.006405694,0.001423488,1,0.002846975,0.015658363,0.019217082,0.004270463,0.554448399,0.002846975,0.002846975,0.006405694,0.010676157,0,0,0.003558719,0.004270463,0.002135231,0,0.032740214,0.001423488,0.007829181,0.007117438,0.010676157,0.00569395,0.024199288,0,0.000711744
HH,0.005988024,0.003592814,0.001197605,0.001197605,0,0,0,0.005988024,0.003592814,0.032335329,0.007185629,0,0.00239521,0.02994012,0.003592814,1,0.00239521,0.00239521,0,0.08502994,0.003592814,0.001197605,0.001197605,0,0,0,0.031137725,0.005988024,0.015568862,0.003592814,0.056287425,0.017964072,0,0,0.003592814,0.00239521,0.007185629,0,0
IH,0.000242365,0.017450315,0.012845371,0.000969462,0.000242365,0.001211827,0.000484731,0.000242365,0.003877848,0,0.123121667,0.002181289,0.050896752,0.000969462,0.000727096,0.000242365,1,0.058652448,0.000242365,0.000484731,0.000969462,0.000484731,0.001454193,0.001454193,0.003393117,0.000727096,0.000969462,0.000484731,0.000727096,0.000242365,0.001696558,0.000969462,0.009936985,0,0.000727096,0,0.003393117,0.003150751,0
IY,0.000445137,0.000890274,0.000222568,0,0.000222568,0.000445137,0.000667705,0.000222568,0.010683285,0.000667705,0.002225684,0.000222568,0.219229913,0.001780548,0.008680169,0.003783663,0.106387714,1,0.000445137,0.012686401,0.000445137,0.001557979,0.009125306,0.052081015,0,0.002003116,0.00289339,0.000890274,0.001335411,0.001112842,0.012018696,0.004896506,0.000222568,0.002448253,0.001557979,0.000222568,0.095481861,0.000667705,0.001112842
JH,0.001077586,0,0.001077586,0,0,0,0,0.685344828,0.00862069,0.001077586,0.004310345,0,0,0.003232759,0.001077586,0.001077586,0.003232759,0,1,0.006465517,0.001077586,0,0.018318966,0,0,0,0.004310345,0.007543103,0.034482759,0.057112069,0.025862069,0.002155172,0.001077586,0.005387931,0,0,0.03125,0.035560345,0.021551724
K,0.001607348,0.001607348,0.000688863,0.001148106,0.000229621,0.000918485,0.001148106,0.009644087,0.009644087,0.003214696,0.003903559,0.002296211,0.001377727,0.023191734,0.488633754,0.079448909,0.00413318,0.00206659,0.003214696,1,0.000918485,0.000459242,0.000918485,0.001148106,0.001607348,0,0.049827784,0.005740528,0.001377727,0.00206659,0.186222732,0.013318025,0.001148106,0.000229621,0.00619977,0.008036739,0.003214696,0.000459242,0.000229621
L,0.002349072,0.000704722,0.003053794,0.004463237,0.002114165,0.002349072,0.001879258,0,0.002114165,0.011275546,0.000939629,0.000234907,0.002818887,0.002114165,0.000234907,0.00164435,0.001879258,0.001174536,0.000234907,0.000704722,1,0.007047216,0.004463237,0.000704722,0.007517031,0.004463237,0.002349072,0.006577402,0.001879258,0,0.003053794,0.003758515,0.00845666,0.002818887,0.002349072,0.039934226,0,0.000469814,0
M,0.001502855,0.000300571,0.002404569,0.000901713,0,0,0.015028554,0,0.005109708,0.010219417,0.001202284,0.001202284,0.000901713,0.000601142,0.002404569,0.000601142,0.003005711,0.001502855,0,0.001202284,0.015629696,1,0.195371205,0.019537121,0.002103998,0,0.004207995,0.006913135,0.000601142,0,0.004207995,0.002404569,0,0.001202284,0.007213706,0.014427412,0,0.000601142,0.000300571
N,0.002091321,0.001917044,0.002788428,0.000348554,0.001394214,0.00052283,0.002091321,0.00052283,0.024573022,0.00697107,0.004182642,0.000174277,0.001917044,0.000871384,0.002091321,0.001219937,0.005751133,0.002091321,0.000871384,0.002265598,0.003834089,0.10247473,1,0.05524573,0.000348554,0,0.003311258,0.00052283,0.001219937,0.00052283,0.017253398,0.001917044,0.00052283,0.001219937,0.003136982,0,0.001742768,0.002091321,0.000348554
